,bin_size
bin.lorbin_000392.fa,15
bin.lorbin_000393.fa,76
bin.lorbin_000394.fa,5
bin.lorbin_000395.fa,6
bin.lorbin_000396.fa,3
bin.lorbin_000397.fa,20
bin.lorbin_000398.fa,30
bin.lorbin_000399.fa,58
bin.lorbin_000400.fa,155
bin.lorbin_000401.fa,40
bin.lorbin_000030.fa,1
bin.lorbin_000402.fa,1
bin.lorbin_000403.fa,1
bin.lorbin_000404.fa,38
bin.lorbin_000405.fa,5
bin.lorbin_000406.fa,10
bin.lorbin_000407.fa,19
bin.lorbin_000408.fa,34
bin.lorbin_000409.fa,56
bin.lorbin_000410.fa,66
bin.lorbin_000411.fa,85
bin.lorbin_000412.fa,99
bin.lorbin_000413.fa,50
bin.lorbin_000414.fa,89
bin.lorbin_000415.fa,1
bin.lorbin_000416.fa,9
bin.lorbin_000417.fa,122
bin.lorbin_000418.fa,34
bin.lorbin_000419.fa,46
bin.lorbin_000420.fa,132
bin.lorbin_000421.fa,41
bin.lorbin_000422.fa,64
bin.lorbin_000423.fa,1
bin.lorbin_000424.fa,9
bin.lorbin_000425.fa,12
bin.lorbin_000426.fa,37
bin.lorbin_000427.fa,42
bin.lorbin_000428.fa,20
bin.lorbin_000429.fa,1
bin.lorbin_000430.fa,29
bin.lorbin_000431.fa,24
bin.lorbin_000432.fa,62
bin.lorbin_000433.fa,11
bin.lorbin_000434.fa,134
bin.lorbin_000435.fa,49
bin.lorbin_000436.fa,33
bin.lorbin_000437.fa,20
bin.lorbin_000438.fa,18
bin.lorbin_000439.fa,15
bin.lorbin_000440.fa,3
bin.lorbin_000441.fa,6
bin.lorbin_000442.fa,15
bin.lorbin_000443.fa,131
bin.lorbin_000444.fa,21
bin.lorbin_000445.fa,50
bin.lorbin_000446.fa,106
bin.lorbin_000447.fa,43
bin.lorbin_000448.fa,21
bin.lorbin_000449.fa,52
bin.lorbin_000450.fa,69
bin.lorbin_000451.fa,55
bin.lorbin_000452.fa,16
bin.lorbin_000453.fa,29
bin.lorbin_000454.fa,229
bin.lorbin_000455.fa,29
bin.lorbin_000456.fa,72
bin.lorbin_000457.fa,1
bin.lorbin_000458.fa,49
bin.lorbin_000459.fa,9
bin.lorbin_000460.fa,1
bin.lorbin_000461.fa,6
bin.lorbin_000462.fa,32
bin.lorbin_000463.fa,35
bin.lorbin_000464.fa,4
bin.lorbin_000465.fa,36
bin.lorbin_000466.fa,17
bin.lorbin_000467.fa,89
bin.lorbin_000468.fa,3
bin.lorbin_000469.fa,88
bin.lorbin_000470.fa,22
bin.lorbin_000471.fa,568
bin.lorbin_000472.fa,216
bin.lorbin_000473.fa,54
bin.lorbin_000474.fa,122
bin.lorbin_000475.fa,8
bin.lorbin_000476.fa,769
bin.lorbin_000477.fa,25
bin.lorbin_000478.fa,28
bin.lorbin_000479.fa,16
bin.lorbin_000480.fa,1
bin.lorbin_000481.fa,1
bin.lorbin_000482.fa,7
bin.lorbin_000483.fa,23
bin.lorbin_000484.fa,4
bin.lorbin_000485.fa,1
bin.lorbin_000486.fa,20
bin.lorbin_000487.fa,31
bin.lorbin_000488.fa,23
bin.lorbin_000489.fa,11
bin.lorbin_000490.fa,50
bin.lorbin_000491.fa,40
bin.lorbin_000492.fa,7
bin.lorbin_000493.fa,4
bin.lorbin_000494.fa,26
bin.lorbin_000495.fa,49
bin.lorbin_000496.fa,1
bin.lorbin_000497.fa,3
bin.lorbin_000498.fa,1
bin.lorbin_000499.fa,161
bin.lorbin_000500.fa,17
bin.lorbin_000501.fa,3
bin.lorbin_000029.fa,1
bin.lorbin_000502.fa,30
bin.lorbin_000503.fa,85
bin.lorbin_000504.fa,53
bin.lorbin_000505.fa,9
bin.lorbin_000506.fa,11
bin.lorbin_000507.fa,1
bin.lorbin_000508.fa,1
bin.lorbin_000509.fa,8
bin.lorbin_000510.fa,9
bin.lorbin_000511.fa,11
bin.lorbin_000512.fa,336
bin.lorbin_000513.fa,13
bin.lorbin_000514.fa,7
bin.lorbin_000515.fa,68
bin.lorbin_000516.fa,3
bin.lorbin_000517.fa,5
bin.lorbin_000518.fa,5
bin.lorbin_000519.fa,7
bin.lorbin_000520.fa,5
bin.lorbin_000521.fa,18
bin.lorbin_000522.fa,13
bin.lorbin_000523.fa,35
bin.lorbin_000524.fa,3
bin.lorbin_000525.fa,26
bin.lorbin_000526.fa,58
bin.lorbin_000527.fa,17
bin.lorbin_000528.fa,57
