,bin_size
bin.semibin2_000416.fa,1
bin.semibin2_000417.fa,7
bin.semibin2_000418.fa,41
bin.semibin2_000419.fa,92
bin.semibin2_000420.fa,59
bin.semibin2_000421.fa,45
bin.semibin2_000422.fa,93
bin.semibin2_000423.fa,47
bin.semibin2_000424.fa,54
bin.semibin2_000425.fa,1
bin.semibin2_000426.fa,59
bin.semibin2_000427.fa,39
bin.semibin2_000428.fa,4
bin.semibin2_000429.fa,34
bin.semibin2_000430.fa,47
bin.semibin2_000431.fa,75
bin.semibin2_000432.fa,21
bin.semibin2_000433.fa,42
bin.semibin2_000434.fa,12
bin.semibin2_000435.fa,22
bin.semibin2_000436.fa,46
bin.semibin2_000437.fa,1
bin.semibin2_000438.fa,19
bin.semibin2_000439.fa,72
bin.semibin2_000440.fa,7
bin.semibin2_000441.fa,73
bin.semibin2_000442.fa,7
bin.semibin2_000443.fa,5
bin.semibin2_000444.fa,3
bin.semibin2_000445.fa,50
bin.semibin2_000446.fa,107
bin.semibin2_000447.fa,13
bin.semibin2_000448.fa,161
bin.semibin2_000449.fa,26
bin.semibin2_000450.fa,43
bin.semibin2_000451.fa,46
bin.semibin2_000452.fa,1
bin.semibin2_000453.fa,44
bin.semibin2_000454.fa,34
bin.semibin2_000455.fa,160
bin.semibin2_000456.fa,2
bin.semibin2_000457.fa,11
bin.semibin2_000458.fa,10
bin.semibin2_000459.fa,27
bin.semibin2_000460.fa,4
bin.semibin2_000461.fa,38
bin.semibin2_000462.fa,30
bin.semibin2_000463.fa,8
bin.semibin2_000464.fa,116
bin.semibin2_000465.fa,50
bin.semibin2_000466.fa,3
bin.semibin2_000467.fa,15
bin.semibin2_000468.fa,33
bin.semibin2_000469.fa,1
bin.semibin2_000470.fa,1
bin.semibin2_000471.fa,49
bin.semibin2_000472.fa,41
bin.semibin2_000473.fa,3
bin.semibin2_000474.fa,19
bin.semibin2_000475.fa,1
bin.semibin2_000476.fa,29
bin.semibin2_000477.fa,64
bin.semibin2_000478.fa,30
bin.semibin2_000479.fa,52
bin.semibin2_000480.fa,28
bin.semibin2_000481.fa,1
bin.semibin2_000482.fa,5
bin.semibin2_000483.fa,1
bin.semibin2_000484.fa,383
bin.semibin2_000485.fa,24
bin.semibin2_000486.fa,32
bin.semibin2_000487.fa,66
bin.semibin2_000488.fa,75
