,bin_size
bin.comebin_000215.fa,1
bin.comebin_000246.fa,17
bin.comebin_000251.fa,6
bin.comebin_000253.fa,61
bin.comebin_000258.fa,91
bin.comebin_000263.fa,19
bin.comebin_000268.fa,1
bin.comebin_000273.fa,1
bin.comebin_000278.fa,1
bin.comebin_000283.fa,1
bin.comebin_000288.fa,1
bin.comebin_000293.fa,8
bin.comebin_000298.fa,32
bin.comebin_000303.fa,1
bin.comebin_000308.fa,62
bin.comebin_000313.fa,3
bin.comebin_000318.fa,18
bin.comebin_000323.fa,2
bin.comebin_000328.fa,1
bin.comebin_000333.fa,1
bin.comebin_000338.fa,1
bin.comebin_000343.fa,1
bin.comebin_000348.fa,6
bin.comebin_000353.fa,1
bin.comebin_000358.fa,1
bin.comebin_000363.fa,50
bin.comebin_000368.fa,5
bin.comebin_000373.fa,55
bin.comebin_000377.fa,6
bin.comebin_000379.fa,107
bin.comebin_000384.fa,1
bin.comebin_000389.fa,69
bin.comebin_000394.fa,42
bin.comebin_000399.fa,4
bin.comebin_000404.fa,61
bin.comebin_000409.fa,17
bin.comebin_000414.fa,1
bin.comebin_000415.fa,75
bin.comebin_000420.fa,1
bin.comebin_000425.fa,79
bin.comebin_000430.fa,77
bin.comebin_000438.fa,1
bin.comebin_000441.fa,97
bin.comebin_000444.fa,69
bin.comebin_000449.fa,65
bin.comebin_000454.fa,31
bin.comebin_000462.fa,1
bin.comebin_000467.fa,1
